filename,tumor
N17.jpg,no
N17.jpg,no
N19.JPG,no
N19.JPG,no
N2.JPG,no
N2.JPG,no
N20.JPG,no
N20.JPG,no
N21.jpg,no
N21.jpg,no
N22.JPG,no
N22.JPG,no
N26.JPG,no
N26.JPG,no
N3.jpg,no
N3.jpg,no
N5.jpg,no
N5.jpg,no
N6.jpg,no
N6.jpg,no
no 1.jpg,no
no 1.jpg,no
no 10.jpg,no
no 10.jpg,no
no 100.jpg,no
no 100.jpg,no
no 2.jpg,no
no 2.jpg,no
no 3.jpg,no
no 3.jpg,no
no 4.jpg,no
no 4.jpg,no
no 5.jpeg,no
no 6.jpg,no
no 6.jpg,no
no 7.jpeg,no
no 8.jpg,no
no 8.jpg,no
no 89.jpg,no
no 89.jpg,no
no 9.png,no
no 9.png,no
no 90.jpg,no
no 90.jpg,no
no 91.jpeg,no
no 92.jpg,no
no 92.jpg,no
no 923.jpg,no
no 923.jpg,no
no 94.jpg,no
no 94.jpg,no
no 95.jpg,no
no 95.jpg,no
no 96.jpg,no
no 96.jpg,no
no 97.jpg,no
no 97.jpg,no
no 98.jpg,no
no 98.jpg,no
no 99.jpg,no
no 99.jpg,no
no.jpg,no
no.jpg,no
No11.jpg,no
No11.jpg,no
No12.jpg,no
No12.jpg,no
No13.jpg,no
No13.jpg,no
No14.jpg,no
No14.jpg,no
No15.jpg,no
No15.jpg,no
No16.jpg,no
No16.jpg,no
No17.jpg,no
No17.jpg,no
No18.jpg,no
No18.jpg,no
No19.jpg,no
No19.jpg,no
No20.jpg,no
No20.jpg,no
No21.jpg,no
No21.jpg,no
No22.jpg,no
No22.jpg,no
Y1.jpg,yes
Y1.jpg,yes
Y10.jpg,yes
Y10.jpg,yes
Y100.JPG,yes
Y100.JPG,yes
Y101.jpg,yes
Y101.jpg,yes
Y102.jpg,yes
Y102.jpg,yes
Y103.jpg,yes
Y103.jpg,yes
Y104.jpg,yes
Y104.jpg,yes
Y105.jpg,yes
Y105.jpg,yes
Y106.jpg,yes
Y106.jpg,yes
Y107.jpg,yes
Y107.jpg,yes
Y108.jpg,yes
Y108.jpg,yes
Y109.JPG,yes
Y109.JPG,yes
Y11.jpg,yes
Y11.jpg,yes
Y111.JPG,yes
Y111.JPG,yes
Y112.JPG,yes
Y112.JPG,yes
Y113.JPG,yes
Y113.JPG,yes
Y114.JPG,yes
Y114.JPG,yes
Y115.JPG,yes
Y115.JPG,yes
Y116.JPG,yes
Y116.JPG,yes
Y117.JPG,yes
Y117.JPG,yes
Y12.jpg,yes
Y12.jpg,yes
Y120.JPG,yes
Y120.JPG,yes
Y13.jpg,yes
Y13.jpg,yes
Y14.jpg,yes
Y14.jpg,yes
Y146.JPG,yes
Y146.JPG,yes
Y147.JPG,yes
Y147.JPG,yes
Y148.JPG,yes
Y148.JPG,yes
Y15.jpg,yes
Y15.jpg,yes
Y153.jpg,yes
Y153.jpg,yes
Y154.jpg,no
Y154.jpg,no
Y155.JPG,yes
Y155.JPG,yes
Y156.JPG,yes
Y156.JPG,yes
Y157.JPG,yes
Y157.JPG,yes
Y158.JPG,yes
Y158.JPG,yes
Y159.JPG,yes
Y159.JPG,yes
Y16.JPG,yes
Y16.JPG,yes
Y160.JPG,yes
Y160.JPG,yes
Y161.JPG,yes
Y161.JPG,yes
Y162.jpg,yes
Y162.jpg,yes
Y163.JPG,yes
Y163.JPG,yes
Y164.JPG,yes
Y164.JPG,yes
Y165.JPG,yes
Y165.JPG,yes
Y166.JPG,yes
Y166.JPG,yes
Y167.JPG,yes
Y167.JPG,yes
Y168.jpg,no
Y168.jpg,no
Y169.jpg,yes
Y169.jpg,yes
Y17.jpg,yes
Y17.jpg,yes
Y170.JPG,no
Y170.JPG,no
Y18.JPG,yes
Y18.JPG,yes
Y180.jpg,yes
Y180.jpg,yes
Y181.jpg,yes
Y181.jpg,yes
Y182.JPG,yes
Y182.JPG,yes
Y183.jpg,yes
Y183.jpg,yes
Y184.JPG,yes
Y184.JPG,yes
Y185.jpg,no
Y185.jpg,no
Y186.jpg,yes
Y186.jpg,yes
Y187.jpg,yes
Y187.jpg,yes
Y188.jpg,yes
Y188.jpg,yes
Y19.JPG,yes
Y19.JPG,yes
Y192.JPG,yes
Y192.JPG,yes
Y193.JPG,yes
Y193.JPG,yes
Y194.jpg,yes
Y194.jpg,yes
Y195.JPG,yes
Y195.JPG,yes
Y2.jpg,yes
Y2.jpg,yes
Y20.jpg,yes
Y20.jpg,yes
Y21.jpg,yes
Y21.jpg,yes
Y22.jpg,yes
Y22.jpg,yes
Y23.JPG,yes
Y23.JPG,yes
Y24.jpg,yes
Y24.jpg,yes
Y242.JPG,no
Y242.JPG,no
Y243.JPG,yes
Y243.JPG,yes
Y244.JPG,yes
Y244.JPG,yes
Y245.jpg,yes
Y245.jpg,yes
Y246.JPG,yes
Y246.JPG,yes
Y247.JPG,yes
Y247.JPG,yes
Y248.JPG,yes
Y248.JPG,yes
Y249.JPG,yes
Y249.JPG,yes
Y25.jpg,yes
Y25.jpg,yes
Y250.jpg,yes
Y250.jpg,yes
Y251.JPG,yes
Y251.JPG,yes
Y252.jpg,no
Y252.jpg,no
Y253.JPG,yes
Y253.JPG,yes
Y254.jpg,yes
Y254.jpg,yes
Y255.JPG,yes
Y255.JPG,yes
Y256.JPG,yes
Y256.JPG,yes
Y257.jpg,yes
Y257.jpg,yes
Y258.JPG,yes
Y258.JPG,yes
Y259.JPG,yes
Y259.JPG,yes
Y26.jpg,yes
Y26.jpg,yes
Y27.jpg,yes
Y27.jpg,yes
Y28.jpg,yes
Y28.jpg,yes
Y29.jpg,yes
Y29.jpg,yes
Y3.jpg,yes
Y3.jpg,yes
Y30.jpg,yes
Y30.jpg,yes
Y31.jpg,yes
Y31.jpg,yes
Y32.jpg,yes
Y32.jpg,yes
Y33.jpg,yes
Y33.jpg,yes
Y34.jpg,yes
Y34.jpg,yes
Y35.jpg,yes
Y35.jpg,yes
Y36.JPG,yes
Y36.JPG,yes
Y37.jpg,yes
Y37.jpg,yes
Y38.jpg,yes
Y38.jpg,yes
Y39.jpg,yes
Y39.jpg,yes
Y4.jpg,yes
Y4.jpg,yes
Y40.JPG,yes
Y40.JPG,yes
Y41.jpg,yes
Y41.jpg,yes
Y42.jpg,yes
Y42.jpg,yes
Y44.JPG,yes
Y44.JPG,yes
Y45.JPG,yes
Y45.JPG,yes
Y46.jpg,yes
Y46.jpg,yes
Y47.JPG,yes
Y47.JPG,yes
Y49.JPG,yes
Y49.JPG,yes
Y50.JPG,yes
Y50.JPG,yes
Y51.jpg,yes
Y51.jpg,yes
Y52.jpg,yes
Y52.jpg,yes
Y53.jpg,yes
Y53.jpg,yes
Y54.jpg,yes
Y54.jpg,yes
Y55.jpg,yes
Y55.jpg,yes
Y56.jpg,yes
Y56.jpg,yes
Y58.JPG,yes
Y58.JPG,yes
Y59.JPG,yes
Y59.JPG,yes
Y6.jpg,yes
Y6.jpg,yes
Y60.jpg,yes
Y60.jpg,yes
Y61.jpg,yes
Y61.jpg,yes
Y62.jpg,yes
Y62.jpg,yes
Y65.JPG,yes
Y65.JPG,yes
Y66.JPG,yes
Y66.JPG,yes
Y67.JPG,yes
Y67.JPG,yes
Y69.jpg,yes
Y69.jpg,yes
Y7.jpg,yes
Y7.jpg,yes
Y70.jpg,yes
Y70.jpg,yes
Y71.JPG,yes
Y71.JPG,yes
Y73.jpg,yes
Y73.jpg,yes
Y74.jpg,yes
Y74.jpg,yes
Y75.JPG,yes
Y75.JPG,yes
Y76.jpg,yes
Y76.jpg,yes
Y77.jpg,yes
Y77.jpg,yes
Y78.jpg,yes
Y78.jpg,yes
Y79.jpg,no
Y79.jpg,no
Y8.jpg,yes
Y8.jpg,yes
Y81.jpg,yes
Y81.jpg,yes
Y82.jpg,yes
Y82.jpg,yes
Y85.JPG,yes
Y85.JPG,yes
Y86.JPG,yes
Y86.JPG,yes
Y89.JPG,yes
Y89.JPG,yes
Y9.jpg,yes
Y9.jpg,yes
Y90.jpg,yes
Y90.jpg,yes
Y91.jpg,yes
Y91.jpg,yes
Y92.jpg,yes
Y92.jpg,yes
Y92.png,yes
Y92.png,yes
Y95.jpg,yes
Y95.jpg,yes
Y96.jpg,yes
Y96.jpg,yes
Y97.JPG,yes
Y97.JPG,yes
Y98.JPG,no
Y98.JPG,no
Y99.JPG,yes
Y99.JPG,yes
